Mã trạm,Tháng,Tỉnh/Thành phố,Chỉ số AQI,CO,Độ ẩm,Áp suất,Bụi PM10,Bụi PM2.5,Nhiệt độ,Tốc độ gió,NO2,O3,SO2
8641,01/2021,Hà Nội,157.8,0.2,64.8,1015.8,0.0,170.8,21.3,2.6,11.3,2.4,2.8
8641,02/2021,Hà Nội,128.9,0.1,65.3,1015.5,0.0,128.9,21.5,3.1,9.4,6.6,4.5
8641,03/2021,Hà Nội,131.0,0.1,78.8,1011.2,0.0,130.6,22.8,3.0,7.7,3.4,4.4
8641,04/2021,Hà Nội,109.8,0.2,81.2,1011.0,0.0,109.8,25.6,3.4,7.6,4.8,4.6
8641,05/2021,Hà Nội,93.3,0.1,73.5,1006.1,0.0,93.3,30.8,3.4,7.1,10.8,4.5
8641,06/2021,Hà Nội,62.1,0.1,64.3,1002.0,0.0,62.1,32.2,2.6,6.2,7.6,4.2
8641,07/2021,Hà Nội,68.0,0.1,68.3,1001.1,0.0,68.0,31.9,2.6,7.3,6.7,4.7
8641,08/2021,Hà Nội,78.0,0.1,92.4,1006.2,0.0,78.0,28.1,2.4,7.6,7.6,5.0
8641,09/2021,Hà Nội,90.2,0.1,71.7,1008.7,0.0,90.2,30.5,2.4,7.4,13.7,5.3
8641,10/2021,Hà Nội,90.8,0.1,79.7,1012.6,0.0,90.8,24.8,3.6,10.0,8.2,5.6
8641,11/2021,Hà Nội,85.0,0.1,79.3,1015.9,0.0,104.8,22.5,2.1,12.2,3.3,5.9
8688,01/2021,Hà Nội,144.9,0.0,65.3,1015.9,0.0,0.0,21.2,2.5,0.0,0.0,0.0
8688,02/2021,Hà Nội,108.2,0.9,46.6,1015.6,0.0,0.0,21.6,3.1,0.0,0.0,0.0
8688,03/2021,Hà Nội,128.9,0.0,78.3,1011.1,0.0,53.1,22.7,2.9,0.0,0.0,0.0
8688,04/2021,Hà Nội,96.8,0.0,82.3,1011.0,0.0,96.8,25.6,3.3,0.0,0.0,0.0
8688,05/2021,Hà Nội,61.1,0.0,74.1,1006.2,0.0,61.1,30.7,3.3,0.0,0.0,0.0
8688,06/2021,Hà Nội,53.6,0.0,66.6,1002.2,0.0,53.6,31.9,2.6,0.0,0.0,0.0
8688,07/2021,Hà Nội,43.9,0.0,68.3,1001.3,0.0,43.9,31.7,2.5,0.0,0.0,0.0
8688,08/2021,Hà Nội,52.1,0.0,88.0,1007.0,0.0,52.1,29.9,3.8,0.0,0.0,0.0
8767,01/2021,TPHCM,101.0,0.0,62.7,1009.0,0.0,101.0,29.1,3.0,0.0,0.0,0.0
8767,02/2021,TPHCM,91.2,0.0,55.6,1009.8,0.0,91.2,29.2,2.7,0.0,0.0,0.0
8767,03/2021,TPHCM,71.6,0.0,48.2,1007.9,0.0,71.6,32.6,3.5,0.0,0.0,0.0
8767,04/2021,TPHCM,76.1,0.0,66.0,1009.1,0.0,76.1,30.6,3.1,0.0,0.0,0.0
8767,05/2021,TPHCM,60.5,0.0,69.7,1007.7,0.0,60.5,30.7,2.7,0.0,0.0,0.0
8767,06/2021,TPHCM,49.7,0.0,73.8,1008.8,0.0,49.7,30.6,4.1,0.0,0.0,0.0
8767,07/2021,TPHCM,50.0,0.0,85.2,1006.7,0.0,50.0,28.6,4.0,0.0,0.0,0.0
8767,08/2021,TPHCM,63.2,0.0,86.6,1009.6,0.0,63.2,28.1,2.1,0.0,0.0,0.0
8767,09/2021,TPHCM,37.6,0.0,74.5,1008.3,0.0,37.6,29.7,3.4,0.0,0.0,0.0
8767,10/2021,TPHCM,51.5,0.0,78.3,1004.2,0.0,51.5,29.5,4.5,0.0,0.0,0.0
8767,11/2021,TPHCM,78.4,0.0,70.1,1009.2,0.0,78.4,29.9,2.2,0.0,0.0,0.0
12488,01/2021,Huế,18.9,1.6,81.2,1015.8,32.1,38.0,22.4,3.4,0.0,0.0,0.0
12488,02/2021,Huế,51.9,1.7,74.5,1015.6,50.3,36.8,23.7,3.8,0.0,0.0,0.0
12488,03/2021,Huế,23.3,5.8,78.9,1011.5,23.6,21.6,26.6,3.9,0.0,0.0,0.0
12488,04/2021,Huế,0.0,6.8,78.9,1010.9,0.0,0.0,27.9,3.1,0.0,0.0,0.0
12488,05/2021,Huế,0.0,5.6,60.3,1007.0,0.0,0.0,33.4,3.1,0.0,0.0,0.0
12488,06/2021,Huế,0.0,5.7,55.6,1005.3,0.0,0.0,32.8,3.3,0.0,0.0,0.0
12488,07/2021,Huế,0.0,5.6,56.1,1002.6,0.0,0.0,33.2,4.5,0.0,0.0,0.0
12488,08/2021,Huế,0.0,6.4,66.1,1008.0,0.0,0.0,30.4,2.0,0.0,0.0,0.0
12488,09/2021,Huế,0.0,5.2,80.4,1008.4,0.0,0.0,28.4,2.8,0.0,0.0,0.0
12488,10/2021,Huế,0.0,8.3,80.3,1008.8,0.0,0.0,27.9,3.4,0.0,0.0,0.0
12488,11/2021,Huế,0.0,10.0,86.2,1015.1,0.0,0.0,24.4,2.6,0.0,0.0,0.0
13013,01/2021,Hà Nội,159.9,17.4,66.3,1016.1,118.7,159.9,21.2,2.8,29.1,0.0,0.0
13013,02/2021,Hà Nội,106.9,11.8,65.0,1015.5,70.9,106.9,21.7,3.1,20.1,0.0,0.0
13013,03/2021,Hà Nội,99.8,12.9,79.4,1011.3,73.1,102.9,22.4,2.8,19.6,0.0,0.0
13013,04/2021,Hà Nội,78.8,12.3,79.4,1010.2,65.1,78.8,25.9,3.2,19.2,0.0,0.0
13013,07/2021,Hà Nội,68.6,5.2,72.7,1000.6,50.8,68.6,31.7,2.1,15.0,0.0,0.0
13013,08/2021,Hà Nội,60.2,11.8,89.4,1005.6,48.8,57.5,29.0,3.0,19.6,0.0,0.0
13013,09/2021,Hà Nội,76.2,16.0,73.6,1009.2,62.1,76.0,29.9,2.2,21.3,0.0,0.0
13013,10/2021,Hà Nội,89.2,19.2,82.0,1010.2,66.8,87.2,25.1,3.7,23.3,0.0,0.0
13013,11/2021,Hà Nội,118.0,26.4,81.1,1017.1,90.8,116.9,21.8,1.8,32.5,0.0,0.0
13014,01/2021,Hà Nội,131.4,9.8,67.2,1016.2,81.2,131.4,21.2,2.7,0.0,0.0,0.0
13014,02/2021,Hà Nội,82.3,5.9,64.3,1015.8,50.5,82.3,21.8,3.0,0.0,0.0,0.0
13014,03/2021,Hà Nội,66.2,8.4,79.7,1011.6,57.0,89.7,22.1,2.9,0.0,0.0,0.0
13014,04/2021,Hà Nội,63.4,8.8,78.3,1011.3,47.1,69.7,25.9,3.2,0.0,0.0,0.0
13014,05/2021,Hà Nội,18.9,5.0,82.8,1011.9,12.7,18.9,25.6,1.4,0.0,0.0,0.0
13014,07/2021,Hà Nội,39.5,6.2,74.2,1000.8,27.2,39.5,31.4,2.3,0.0,0.0,0.0
13014,08/2021,Hà Nội,36.1,4.2,90.3,1005.6,24.4,36.1,28.9,2.9,0.0,0.0,0.0
13014,09/2021,Hà Nội,51.4,4.7,73.6,1009.3,32.4,51.4,29.9,2.2,0.0,0.0,0.0
13014,10/2021,Hà Nội,56.0,6.0,81.8,1008.2,39.0,63.3,25.1,4.0,0.0,0.0,0.0
13014,11/2021,Hà Nội,99.4,9.6,80.8,1017.0,58.6,100.2,21.8,1.9,0.0,0.0,0.0
13015,01/2021,Hà Nội,161.3,41.8,66.9,1016.2,120.0,161.3,21.2,2.7,47.9,0.0,0.0
13015,02/2021,Hà Nội,100.5,30.2,65.4,1015.9,71.4,106.5,21.7,3.1,34.0,0.0,0.0
13015,03/2021,Hà Nội,77.3,29.4,79.8,1011.6,78.3,107.4,22.1,2.9,28.8,0.0,0.0
13015,04/2021,Hà Nội,88.6,28.6,75.1,1011.0,64.8,89.6,26.8,2.9,36.2,0.0,0.0
13017,01/2021,Hà Nội,157.3,13.9,66.9,1016.2,120.6,157.3,21.2,2.6,22.0,0.0,0.0
13017,02/2021,Hà Nội,102.3,11.3,65.3,1015.6,68.8,102.3,21.6,3.1,15.7,0.0,0.0
13017,03/2021,Hà Nội,80.6,11.3,79.4,1011.4,79.9,112.8,22.2,2.9,18.9,0.0,0.0
13017,04/2021,Hà Nội,51.6,15.3,79.6,1010.2,43.5,51.6,25.9,3.1,17.5,0.0,0.0
13017,07/2021,Hà Nội,68.0,7.2,73.3,1000.5,53.6,67.8,31.6,2.3,12.6,0.0,0.0
13017,08/2021,Hà Nội,57.7,4.2,89.1,1005.6,51.9,54.9,29.1,3.0,9.2,0.0,0.0
13017,09/2021,Hà Nội,76.8,6.3,73.6,1009.2,57.2,76.1,29.9,2.2,12.2,0.0,0.0
13017,10/2021,Hà Nội,87.0,12.7,82.0,1010.2,64.2,88.8,25.1,3.8,20.3,0.0,0.0
13017,11/2021,Hà Nội,120.4,18.0,81.2,1016.8,92.8,119.2,21.9,1.8,31.2,0.0,0.0
13018,01/2021,Hà Nội,126.0,8.1,66.3,1016.1,75.6,126.0,21.2,2.8,24.0,0.0,0.0
13018,02/2021,Hà Nội,79.1,4.7,63.7,1015.8,47.2,79.1,21.9,3.0,19.9,0.0,0.0
13018,03/2021,Hà Nội,54.8,5.0,79.4,1011.3,45.0,64.9,22.4,2.9,10.1,0.0,0.0
13018,04/2021,Hà Nội,38.3,4.0,79.5,1010.2,25.8,38.9,25.9,3.1,6.7,0.0,0.0
13018,07/2021,Hà Nội,35.8,2.0,75.8,1000.5,27.6,35.8,31.4,2.3,8.4,0.0,0.0
13018,08/2021,Hà Nội,32.2,1.8,88.4,1005.5,23.8,32.2,29.2,3.1,9.9,0.0,0.0
13018,09/2021,Hà Nội,42.0,1.1,73.8,1009.3,30.3,42.0,29.9,2.3,8.0,0.0,0.0
13018,10/2021,Hà Nội,55.7,2.8,81.8,1010.3,33.7,55.7,25.1,3.7,10.2,0.0,0.0
13018,11/2021,Hà Nội,64.0,5.4,84.3,1016.9,36.8,69.0,21.4,1.5,10.2,0.0,0.0
13019,01/2021,Hà Nội,133.9,10.0,66.9,1016.2,85.7,133.9,21.2,2.7,31.9,0.0,0.0
13019,02/2021,Hà Nội,78.0,6.0,64.4,1015.8,51.9,78.0,21.8,3.0,23.8,0.0,0.0
13019,03/2021,Hà Nội,90.3,9.6,79.4,1011.4,59.2,90.3,22.3,2.7,25.8,0.0,0.0
13019,04/2021,Hà Nội,62.6,12.6,79.4,1010.2,46.9,64.8,25.9,3.1,27.7,0.0,0.0
13019,07/2021,Hà Nội,37.4,6.2,75.8,1000.5,27.8,37.4,31.4,2.3,20.2,0.0,0.0
13019,08/2021,Hà Nội,25.6,3.9,90.0,1005.6,19.4,25.6,28.9,2.9,18.9,0.0,0.0
13019,09/2021,Hà Nội,38.4,4.3,73.6,1009.3,27.2,38.4,29.9,2.2,21.8,0.0,0.0
13019,10/2021,Hà Nội,66.3,6.7,81.5,1010.3,43.2,63.7,25.5,4.0,28.2,0.0,0.0
13019,11/2021,Hà Nội,86.8,13.9,86.0,1016.9,67.2,100.6,21.3,1.8,34.0,0.0,0.0
13020,01/2021,Hà Nội,118.2,9.2,66.3,1016.1,76.7,126.1,21.2,2.7,18.3,0.0,0.0
13020,02/2021,Hà Nội,77.0,5.4,64.8,1015.7,48.5,77.0,21.7,3.1,8.7,0.0,0.0
13020,03/2021,Hà Nội,51.9,6.0,80.4,1011.3,48.8,65.0,22.1,2.7,10.8,0.0,0.0
13020,04/2021,Hà Nội,36.0,3.1,79.6,1010.2,28.8,36.0,25.9,3.1,7.1,0.0,0.0
13020,07/2021,Hà Nội,39.2,2.8,72.7,1000.6,27.2,39.2,31.7,2.1,9.0,0.0,0.0
13020,08/2021,Hà Nội,31.2,3.8,89.9,1005.8,20.7,31.2,28.8,3.1,8.8,0.0,0.0
13020,09/2021,Hà Nội,42.7,5.4,78.4,1009.7,30.4,38.4,29.1,2.4,10.8,0.0,0.0
13020,10/2021,Hà Nội,57.2,6.2,81.8,1011.8,40.8,65.2,24.2,2.8,23.3,0.0,0.0
13020,11/2021,Hà Nội,61.4,6.6,85.2,1017.2,44.0,77.6,21.3,2.0,24.0,0.0,0.0
13026,01/2021,Hà Nội,154.4,9.4,66.9,1016.1,99.4,154.4,21.2,2.7,22.0,2.7,1.1
13026,02/2021,Hà Nội,81.6,4.7,64.9,1014.8,46.2,78.6,22.2,2.9,25.6,3.1,1.1
13026,03/2021,Hà Nội,58.4,7.0,83.4,1010.4,61.9,81.4,22.4,2.8,26.2,2.0,1.1
13026,04/2021,Hà Nội,11.8,6.2,75.6,1014.7,9.2,11.8,27.6,4.5,27.9,1.1,1.0
13026,07/2021,Hà Nội,54.4,3.8,70.7,1000.7,45.4,51.2,32.0,2.3,8.6,0.8,0.2
13026,08/2021,Hà Nội,43.2,2.2,95.5,1005.8,33.7,42.6,27.7,2.4,7.5,0.0,0.0
13026,09/2021,Hà Nội,56.0,2.7,73.1,1009.0,39.7,55.8,30.1,2.2,10.0,0.0,0.0
13026,10/2021,Hà Nội,73.0,4.8,80.4,1010.4,47.0,73.0,25.5,3.8,14.5,0.0,0.0
13026,11/2021,Hà Nội,99.5,4.6,76.2,1016.4,66.9,98.9,22.5,2.1,15.2,0.0,0.0
13251,01/2021,Hà Nội,159.9,13.9,66.6,1016.2,124.0,159.9,21.2,2.8,30.7,1.8,1.7
13251,02/2021,Hà Nội,22.7,9.9,62.3,892.3,16.2,23.5,20.8,3.0,39.1,1.0,1.0
13251,07/2021,Hà Nội,59.4,7.4,71.9,1000.7,53.6,57.8,31.9,2.2,4.6,1.8,1.0
13251,08/2021,Hà Nội,63.0,3.2,87.0,1004.4,12.7,62.2,30.1,2.7,0.0,1.0,0.2
13251,09/2021,Hà Nội,0.0,6.0,53.5,1008.5,0.0,0.0,33.0,0.5,0.0,3.0,0.0
13251,10/2021,Hà Nội,0.0,10.0,91.0,1007.0,0.0,0.0,28.5,2.0,0.0,2.0,0.0
